Part,Description,Value,Case,Power,Supplier 1,Supplier Part Number 1,Library Path,Library Ref,Footprint Path,Footprint Ref,Company,Comment
RES0805_8.25,"RES 0805 8.25Ohm 1/8W",8.25,0805,1/8,Digikey,541-8.25CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_8.45,"RES 0805 8.45Ohm 1/8W",8.45,0805,1/8,Digikey,541-8.45CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_8.66,"RES 0805 8.66Ohm 1/8W",8.66,0805,1/8,Digikey,541-8.66CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_8.87,"RES 0805 8.87Ohm 1/8W",8.87,0805,1/8,Digikey,541-8.87CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_9.09,"RES 0805 9.09Ohm 1/8W",9.09,0805,1/8,Digikey,541-9.09CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_9.31,"RES 0805 9.31Ohm 1/8W",9.31,0805,1/8,Digikey,541-9.31CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_9.53,"RES 0805 9.53Ohm 1/8W",9.53,0805,1/8,Digikey,541-9.53CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_9.76,"RES 0805 9.76Ohm 1/8W",9.76,0805,1/8,Digikey,541-9.76CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.00,"RES 0805 1.00Ohm 1/8W",1.00,0805,1/8,Digikey,541-1CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.02,"RES 0805 1.02Ohm 1/8W",1.02,0805,1/8,Digikey,541-1.02CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
RES0805_1.05,"RES 0805 1.05Ohm 1/8W",1.05,0805,1/8,Digikey,541-1.05CCCT-ND,Atlantix_R.SchLib,Res1,Atlantix_R.PcbLib,RES0805,Atlantix EDA, =Description
